customer_id,age,gender,employment_type,monthly_income,loan_amount,transaction_count,avg_monthly_spend,savings_ratio,mobile_recharge_freq,missed_payments,income_to_loan_ratio,spend_to_income_ratio,credit_risk,risk_category,loan_eligibility,credit_score
CUST000001,59,Female,Salaried,8055,26050,238,4238,0.49,12,0,0.31,0.53,0,Low Risk,Not Eligible,798
CUST000002,49,Female,Salaried,96697,403036,39,83857,0.35,11,4,0.24,0.87,1,High Risk,Not Eligible,410
CUST000003,35,Female,Salaried,109505,491383,201,84610,0.48,13,0,0.22,0.77,1,Low Risk,Not Eligible,676
CUST000004,63,Female,Salaried,88720,105153,29,16049,0.08,8,6,0.84,0.18,1,High Risk,Not Eligible,300
CUST000005,28,Female,Self-Employed,86199,236329,206,60193,0.6,7,3,0.36,0.7,1,High Risk,Not Eligible,520
CUST000006,41,Female,Self-Employed,41734,587020,277,38584,0.07,14,0,0.07,0.92,1,Low Risk,Not Eligible,594
CUST000007,59,Male,Self-Employed,24493,581209,40,69634,0.13,2,0,0.04,2.84,1,Low Risk,Not Eligible,606
CUST000008,39,Female,Salaried,142704,443715,227,17679,0.42,14,4,0.32,0.12,1,High Risk,Not Eligible,424
CUST000009,43,Female,Salaried,103872,142912,281,37505,0.53,8,5,0.73,0.36,1,High Risk,Not Eligible,386
CUST000010,31,Male,Self-Employed,69779,501586,22,54341,0.08,3,4,0.14,0.78,1,High Risk,Not Eligible,356
CUST000011,31,Male,Self-Employed,129187,560728,192,53374,0.65,6,6,0.23,0.41,1,High Risk,Not Eligible,350
CUST000012,44,Female,Self-Employed,124603,564471,261,49998,0.68,10,6,0.22,0.4,1,High Risk,Not Eligible,356
CUST000013,56,Male,Salaried,69607,390327,146,79970,0.44,7,4,0.18,1.15,1,High Risk,Not Eligible,428
CUST000014,60,Female,Unemployed,24940,333443,140,58701,0.35,12,0,0.07,2.35,1,Low Risk,Not Eligible,650
CUST000015,44,Male,Salaried,135880,44023,83,47859,0.53,6,4,3.09,0.35,1,High Risk,Not Eligible,446
CUST000016,23,Female,Self-Employed,106408,186101,296,36178,0.25,5,2,0.57,0.34,0,Medium Risk,Eligible with Conditions,630
